Vehicle_Model,Mileage,Maintenance_History,Vehicle_Age,Fuel_Type,Engine_Size,Service_History,Accident_History,Fuel_Efficiency,Battery_Status
Car,40411,Good,9,Petrol,1500,2,1,19.56727018,Weak
SUV,73400,Poor,4,Electric,800,6,0,17.26720465,Weak
Van,35346,Poor,1,Diesel,800,9,2,12.94298876,New
Car,45695,Poor,9,Diesel,1000,8,1,18.77187052,Weak
Bus,71090,Poor,5,Petrol,800,9,2,16.921094,Good
SUV,65221,Poor,1,Diesel,1000,10,1,13.89977218,Weak
Van,63277,Average,5,Petrol,1000,8,0,11.61964473,Weak
Car,57753,Average,2,Electric,800,8,3,13.35529027,Weak
Motorcycle,48894,Poor,5,Petrol,2000,7,1,13.37841235,New
Bus,76193,Poor,9,Petrol,800,4,2,12.96469802,Weak
Truck,30845,Poor,1,Petrol,2500,7,3,15.99682466,Weak
Motorcycle,40760,Good,8,Petrol,2000,9,3,12.09881671,Weak
SUV,55600,Average,5,Diesel,1500,7,0,17.59173126,Good
SUV,46380,Average,3,Electric,2000,2,1,14.33661455,Weak
Bus,51248,Good,6,Petrol,2500,2,0,14.85946698,Good
SUV,45427,Average,9,Petrol,1000,9,2,15.66278813,Weak
Truck,68744,Average,7,Petrol,2500,10,3,17.44544976,New
Van,34001,Average,6,Electric,2000,8,2,12.26119383,Weak
Car,43023,Poor,6,Diesel,2000,2,3,10.657794,Weak
Bus,46572,Poor,10,Petrol,2000,9,2,15.34112654,New
Motorcycle,63544,Average,1,Petrol,800,10,3,15.09247957,Weak
Truck,49183,Poor,5,Electric,2500,8,3,13.06811245,Weak
Motorcycle,68317,Poor,5,Diesel,2500,2,2,16.29770399,Weak
Van,36296,Average,6,Electric,2500,7,0,19.26615996,Weak
SUV,34929,Good,6,Petrol,2000,6,1,18.33459452,Weak
Truck,32865,Average,8,Petrol,2000,3,2,15.02839675,Weak
Truck,51881,Average,10,Diesel,2500,6,2,10.35284006,Weak
Bus,47586,Poor,9,Diesel,2000,5,2,12.78029994,Weak
Van,39971,Average,2,Electric,800,1,2,17.20891973,Weak
SUV,54099,Good,8,Electric,800,7,0,13.52863606,New
Motorcycle,37869,Average,8,Diesel,1000,2,0,12.74973396,Weak
Car,62328,Poor,10,Electric,1500,4,1,19.49306721,Good
SUV,59174,Average,10,Diesel,1000,10,2,19.54663499,New
Van,37109,Poor,2,Petrol,1500,1,2,11.88097642,Weak
Truck,64605,Good,7,Electric,2500,9,3,15.36555823,New
SUV,32618,Average,8,Electric,1000,7,1,13.11660508,New
Car,39780,Poor,10,Petrol,2500,5,0,15.97813398,Weak
Motorcycle,62234,Average,2,Petrol,1000,6,3,12.11790146,New
SUV,39303,Good,1,Electric,1500,1,3,13.98283661,New
Bus,67670,Good,6,Electric,800,9,3,15.66001145,Good
Truck,32357,Good,5,Electric,2500,5,0,13.44818788,Weak
Car,38494,Poor,8,Electric,2500,3,1,14.10036691,Weak
Motorcycle,46752,Poor,4,Diesel,1500,5,2,18.19760036,Weak
Bus,47174,Good,8,Electric,2000,7,0,12.58881088,New
Truck,51239,Poor,5,Petrol,1000,8,2,15.25750554,Good
Car,67696,Average,4,Diesel,800,8,0,12.03439796,New
Bus,72991,Average,4,Electric,2000,7,3,17.08857072,New
Truck,61753,Average,9,Petrol,1000,4,0,18.75021249,Weak
Motorcycle,35037,Poor,1,Diesel,2000,10,3,10.91380141,Good
Bus,78114,Poor,2,Diesel,1000,10,0,14.21772739,New
Bus,39297,Good,5,Electric,800,10,3,12.96154592,New
SUV,60225,Poor,10,Electric,2000,4,2,15.11911545,New
Bus,76740,Good,1,Electric,1500,6,1,19.45552464,Good
Bus,71952,Good,10,Diesel,800,3,3,18.26477286,New
SUV,53585,Average,3,Petrol,2500,2,1,11.86420229,Good
Truck,65337,Good,1,Petrol,1000,10,2,15.84615194,Good
Truck,55552,Good,8,Petrol,800,10,3,11.63570675,New
Bus,46910,Good,1,Diesel,1000,8,1,12.78474985,Weak
SUV,60806,Poor,9,Petrol,1500,8,2,17.33342642,Good
Car,50950,Good,3,Petrol,2500,4,1,19.26290992,Good
SUV,63912,Poor,5,Petrol,1500,4,1,17.49669548,New
Truck,56780,Average,8,Diesel,1500,1,0,19.5557918,New
Car,79610,Good,2,Petrol,800,4,2,17.70408762,Weak
SUV,67394,Poor,7,Petrol,1000,9,1,13.19515721,Weak
Van,63165,Poor,4,Petrol,800,9,0,11.27309314,New
Car,30514,Good,8,Diesel,1000,6,1,14.33832038,New
SUV,50105,Poor,2,Diesel,2500,4,0,12.36743662,New
Motorcycle,69055,Poor,9,Diesel,800,5,3,15.19369215,Weak
Bus,57968,Good,8,Petrol,2000,7,1,16.46894545,New
Bus,35221,Good,3,Diesel,1500,6,3,17.82206832,Weak
Van,42068,Average,6,Petrol,2000,6,2,17.11924543,Weak
Bus,71339,Good,4,Electric,800,8,1,10.51628613,New
SUV,69012,Poor,1,Electric,1500,10,0,10.09863401,New
Motorcycle,76172,Poor,6,Diesel,800,9,3,10.94467162,New
SUV,73096,Average,2,Diesel,1500,9,2,10.83300952,Weak
Car,55941,Poor,4,Petrol,1500,9,1,14.53633257,Weak
Bus,52054,Average,1,Petrol,1500,4,0,16.62808928,Good
Truck,79270,Poor,10,Electric,800,5,3,18.37114081,New
Van,58580,Poor,10,Diesel,2000,9,2,10.8434823,Weak
Bus,74319,Good,3,Diesel,2000,9,2,17.2814051,Good
Car,53911,Average,2,Electric,1000,1,1,18.65736401,Good
Truck,68339,Good,6,Petrol,1000,4,0,11.940936,Good
Bus,60906,Good,10,Electric,2000,2,1,10.25066179,Weak
Bus,40241,Average,8,Diesel,1000,2,1,19.27159744,Weak
Car,43722,Poor,2,Petrol,1500,8,3,13.51139582,Weak
Bus,32088,Poor,3,Diesel,2000,8,2,12.9484263,Weak
Motorcycle,39964,Average,6,Diesel,2000,9,3,19.879914,Weak
Van,76388,Poor,2,Electric,1500,4,1,10.20380729,New
SUV,60746,Poor,9,Diesel,1500,6,1,16.48258966,New
Van,51565,Good,8,Electric,800,5,3,14.32587799,Good
Motorcycle,78780,Good,6,Petrol,800,5,2,18.14839934,New
Car,70818,Good,4,Diesel,2000,4,0,17.56586804,New
Van,48075,Good,2,Diesel,2000,3,3,12.76199152,Good
Motorcycle,71445,Poor,6,Petrol,1500,3,3,10.43762617,Weak
Motorcycle,71711,Poor,9,Electric,800,2,2,15.11671258,New
Motorcycle,54689,Good,9,Diesel,2000,7,3,10.79391174,Good
Motorcycle,64993,Average,1,Electric,1500,1,0,14.16954082,New
Motorcycle,37779,Good,1,Diesel,1500,10,3,16.20202263,New
Truck,56385,Good,5,Petrol,800,1,3,16.76571544,Good
Motorcycle,41515,Average,9,Electric,1000,8,0,10.91150681,Weak
Truck,47717,Good,8,Petrol,1000,9,2,14.60103136,Weak
Motorcycle,70219,Poor,1,Electric,800,10,2,17.1716906,Weak
Bus,32343,Poor,6,Electric,1500,2,2,14.08683357,Weak
SUV,33996,Poor,8,Electric,800,3,3,15.43528724,Good
Bus,50983,Average,1,Electric,1500,10,1,12.35959136,Good
Motorcycle,65082,Good,3,Electric,800,8,1,19.76051383,Good
Truck,64983,Good,4,Electric,2500,3,0,10.57269315,Weak
Motorcycle,58881,Average,8,Petrol,2000,7,0,11.56520113,New
Car,50262,Good,8,Electric,1500,9,3,16.55747237,Good
SUV,42619,Average,9,Diesel,2500,10,2,14.24374461,Good
Car,36429,Good,10,Electric,1500,7,3,14.28738866,Good
SUV,52827,Good,2,Petrol,2500,5,2,19.12474004,New
SUV,56631,Average,9,Petrol,800,10,0,13.42387049,New
Car,53347,Good,2,Petrol,800,5,1,14.66262767,New
Truck,37870,Poor,7,Diesel,1500,8,0,16.03986136,Good
Car,72112,Good,5,Petrol,1500,8,0,19.87597137,Good
Car,58636,Good,9,Diesel,1500,7,0,16.41209031,New
Truck,55499,Poor,3,Petrol,800,5,2,15.72393928,Weak
Bus,79290,Average,3,Electric,800,8,1,11.57043976,New
Motorcycle,70385,Average,3,Electric,800,9,2,12.76420817,Weak
Bus,42153,Poor,5,Diesel,1000,3,2,16.27997614,Weak
Van,35212,Good,7,Petrol,800,5,1,17.96798083,New
Bus,56879,Average,7,Petrol,2000,6,0,15.8746099,Good
Bus,76919,Poor,7,Petrol,1500,6,0,11.11241867,New
Bus,64157,Average,7,Petrol,1000,3,0,15.2374272,Good
Truck,79937,Average,4,Diesel,1000,10,2,19.90166184,Good
Van,32054,Poor,7,Electric,800,8,3,15.18649838,Good
Car,72138,Poor,6,Electric,2000,4,2,14.08682508,New
Car,74569,Poor,1,Diesel,2000,8,3,17.8503567,New
Bus,47657,Poor,8,Electric,2000,8,3,10.53724692,New
Van,74865,Good,4,Electric,1000,9,3,16.0642904,New
Truck,72360,Poor,6,Petrol,2500,3,2,11.86595924,Good
Car,75145,Average,10,Petrol,2000,2,3,10.96042603,Weak
SUV,53378,Average,2,Petrol,1500,5,1,15.91555434,New
Bus,47872,Average,6,Electric,1500,5,1,18.63992341,Good
Car,46154,Average,4,Petrol,1000,2,0,13.66947793,Good
Bus,63254,Poor,6,Petrol,1500,5,0,10.76152758,New
Bus,52097,Average,5,Electric,1000,4,3,15.34504709,Weak
Truck,39658,Average,3,Diesel,800,9,2,10.43117918,New
SUV,48523,Good,5,Petrol,1000,3,2,18.2898525,Good
Truck,73116,Good,10,Diesel,1500,3,3,13.40452584,New
Truck,37503,Good,6,Diesel,800,6,3,18.80973082,Weak
SUV,44092,Poor,9,Petrol,1500,8,2,11.9781099,New
Truck,37857,Good,7,Diesel,1500,10,2,18.12572652,Weak
Van,65094,Poor,4,Electric,1000,3,1,16.43973322,Weak
SUV,73331,Good,6,Diesel,1000,10,0,17.97558608,New
Truck,50057,Average,3,Electric,1500,5,0,12.40984105,Weak
Van,34146,Poor,4,Electric,2000,3,2,12.21256252,Weak
Van,77225,Good,4,Diesel,2000,6,3,13.72285957,New
Car,56025,Average,10,Diesel,2500,2,1,17.87415877,Good
Bus,60351,Good,6,Petrol,800,1,2,11.52864746,Weak
Car,68806,Average,4,Petrol,1500,9,1,12.44198196,New
Truck,62646,Poor,3,Petrol,800,2,1,15.28117113,New
Bus,59402,Average,3,Petrol,1500,7,1,18.89747469,Good
Truck,45484,Good,4,Electric,1500,5,0,12.00795378,Weak
Truck,62905,Average,1,Diesel,1000,3,2,13.03381582,New
SUV,79096,Good,4,Diesel,1500,5,2,19.85917805,New
Van,49180,Poor,10,Petrol,2000,10,2,19.24046763,Weak
Van,53622,Poor,4,Electric,800,9,1,18.11520261,Weak
Motorcycle,78756,Average,5,Petrol,2000,3,1,14.948348,Weak
SUV,55770,Average,6,Petrol,1500,1,1,10.52604688,New
Truck,63108,Average,5,Electric,800,1,0,14.71146459,New
Van,60281,Good,4,Petrol,2500,7,1,14.36549755,Weak
Truck,33381,Average,4,Electric,800,2,3,13.52696757,Good
Truck,63543,Good,5,Petrol,1500,2,2,15.4153714,New
SUV,79710,Good,8,Electric,2500,4,1,11.7754263,Good
Car,72678,Good,1,Electric,2000,6,3,19.0682973,New
Car,48162,Average,4,Diesel,1000,3,3,14.91822697,Weak
Bus,36419,Poor,8,Petrol,800,3,1,10.09485501,New
Car,74306,Average,1,Petrol,800,6,3,16.05893689,Good
Car,34164,Poor,1,Diesel,1500,6,0,16.6211387,Good
Motorcycle,58783,Poor,5,Electric,2000,7,1,17.38200019,Good
Bus,30559,Poor,5,Petrol,800,5,2,13.27883052,New
Truck,71720,Average,5,Petrol,800,9,3,12.75931443,Good
Van,37075,Poor,8,Electric,1500,5,2,19.29483659,New
Bus,63524,Good,3,Petrol,1000,1,2,11.53381995,New
Truck,33413,Poor,4,Diesel,1500,8,1,17.40860287,Good
Car,36538,Poor,6,Diesel,2000,1,0,10.86270076,Weak
SUV,70002,Good,2,Diesel,1500,4,1,19.7389302,Weak
SUV,39374,Average,9,Petrol,2000,7,2,11.21850296,New
Truck,52112,Good,3,Petrol,1000,3,1,16.98087366,New
Car,46051,Poor,3,Diesel,1500,5,2,13.49106301,New
Truck,41741,Average,8,Electric,2500,6,1,11.82147941,Weak
Car,46449,Average,1,Petrol,800,5,3,13.43702917,Weak
Van,66421,Average,8,Diesel,800,10,1,16.55917776,Good
Van,32851,Average,2,Electric,2500,2,2,13.60078219,Good
Car,49870,Average,6,Diesel,2500,4,2,15.10305763,Weak
Motorcycle,46457,Poor,10,Petrol,1000,8,3,13.61558132,Good
Truck,56915,Good,10,Diesel,2000,6,1,11.40077465,Good
SUV,69958,Good,10,Petrol,2500,5,3,13.49101511,Good
SUV,41070,Good,1,Electric,1000,5,2,18.88206567,New
Truck,78113,Good,10,Petrol,1000,3,0,16.8445274,Good
SUV,51626,Good,8,Diesel,1500,6,2,18.58370394,New
Car,37396,Poor,5,Diesel,2000,8,1,11.21616192,New
Bus,49947,Average,3,Diesel,2500,5,1,16.83663153,Good
Motorcycle,71855,Good,5,Petrol,1500,6,0,12.02725706,New
Van,50249,Average,7,Diesel,2500,2,2,15.95441368,New
SUV,44209,Poor,1,Diesel,800,10,0,10.95266261,Good
Truck,50770,Average,4,Diesel,800,1,1,13.14493454,Weak
Bus,62186,Average,10,Petrol,2000,2,3,14.78327059,Good
Car,77728,Average,4,Electric,2500,8,0,18.60858285,New
Motorcycle,77502,Average,1,Petrol,1000,2,3,19.591016,Good
Van,41270,Good,5,Petrol,1500,8,0,13.84138326,New
Car,49345,Average,9,Electric,2000,7,2,13.50991769,Good
Bus,75597,Poor,2,Electric,2000,6,0,10.43727301,Good
SUV,33228,Good,7,Petrol,800,4,1,14.53087623,Good
Bus,51965,Good,9,Electric,2000,3,0,14.93046015,New
Truck,77641,Average,3,Diesel,2500,2,2,14.59753271,Good
Motorcycle,75389,Good,10,Electric,1500,2,3,11.89117271,Weak
Bus,74316,Good,8,Electric,1000,10,3,10.40905861,Good
SUV,37700,Poor,8,Electric,2000,2,2,10.1692642,Weak
Truck,63745,Good,5,Petrol,1000,10,3,12.23947775,New
Motorcycle,71190,Poor,5,Diesel,800,7,3,11.94926761,Good
Bus,46808,Average,4,Petrol,1000,10,2,15.4307677,Weak
Truck,50708,Average,7,Diesel,2500,8,2,13.24237658,Weak
Car,75454,Poor,4,Diesel,2500,2,2,13.47917641,New
Bus,45053,Poor,2,Petrol,2000,7,0,11.92996864,Weak
Truck,53385,Poor,1,Electric,2000,5,2,10.63761524,Weak
Bus,62435,Good,10,Diesel,1000,9,1,12.24492945,New
Car,43061,Good,8,Petrol,2500,10,1,11.45031223,Weak
Truck,61160,Good,5,Electric,2500,5,0,13.69235791,New
Truck,72715,Average,7,Diesel,800,1,2,15.96296438,Weak
Van,70924,Average,2,Diesel,800,8,0,10.50765682,Weak
SUV,35882,Good,5,Diesel,800,3,2,13.74013478,Weak
Van,30388,Poor,6,Electric,1500,9,1,15.19956694,Weak
Motorcycle,64779,Average,5,Diesel,800,7,2,19.7768772,Weak
Truck,31130,Good,1,Electric,2500,6,2,15.75962001,New
Truck,56969,Average,10,Electric,800,9,0,19.65782845,Weak
Motorcycle,72882,Average,5,Electric,2000,5,3,16.55337137,New
Truck,36402,Poor,1,Petrol,1500,5,2,10.534297,Weak
Van,36549,Average,3,Petrol,2000,1,2,10.94388804,Good
Car,36826,Average,7,Electric,1000,2,3,17.78479549,Good
Truck,42489,Poor,3,Electric,1500,6,0,10.55305793,Weak
Motorcycle,63096,Average,10,Electric,2000,2,0,18.35259406,Weak
Bus,49369,Good,5,Electric,1000,3,2,15.63927617,Good
Car,53047,Good,3,Diesel,1000,5,1,14.47448529,Good
Bus,54067,Average,3,Petrol,1500,2,0,16.73982199,Good
Van,61486,Good,4,Diesel,800,8,3,16.97142296,Weak
Motorcycle,32270,Good,4,Diesel,1000,5,1,18.49132097,Good
SUV,75118,Average,6,Diesel,800,6,1,16.95126891,Good
Car,44344,Poor,1,Electric,2000,4,1,12.09449826,New
SUV,51313,Good,8,Electric,800,10,1,12.65788954,New
SUV,72638,Poor,1,Petrol,1500,3,0,19.2133908,Weak
SUV,62968,Good,4,Petrol,1000,6,0,17.05991229,New
Van,52717,Poor,2,Diesel,1500,3,2,11.85071436,New
Bus,76508,Good,10,Diesel,2000,10,1,16.27970785,New
Car,36471,Poor,7,Petrol,2000,3,1,11.82088062,Good
Car,70423,Average,5,Diesel,800,9,0,18.33263068,Good
Truck,51992,Good,4,Electric,2000,10,0,16.77264402,New
Bus,55161,Good,5,Electric,1500,5,3,10.49597918,Good
Van,51873,Poor,5,Petrol,1500,7,1,17.62092928,Weak
Van,75679,Poor,1,Petrol,2000,1,0,16.68166546,Weak
Bus,69965,Good,6,Diesel,1500,1,0,16.16200076,Weak
Van,72683,Good,10,Diesel,1000,3,2,17.29006482,New
Truck,56896,Poor,5,Electric,800,1,3,12.011243,Weak
Truck,48302,Good,9,Diesel,2000,5,2,11.05058488,Weak
Van,59634,Poor,5,Petrol,2000,6,3,12.44982765,New
Bus,68817,Good,9,Electric,800,5,3,11.70619024,New
SUV,54181,Poor,7,Petrol,2500,9,1,14.4517035,Weak
Van,56806,Poor,10,Petrol,1500,7,2,19.2587847,New
Van,32301,Average,8,Electric,2500,1,1,14.32774789,Good
Truck,76890,Average,8,Electric,2000,3,1,14.73327228,Weak
Motorcycle,76125,Poor,4,Diesel,2500,7,3,11.19824143,Weak
Motorcycle,70683,Good,9,Petrol,2500,8,2,14.26071697,New
Bus,56461,Average,8,Diesel,2000,1,0,11.24340238,Good
Bus,55189,Poor,8,Petrol,800,5,0,13.46351872,Weak
Car,46428,Poor,8,Petrol,2500,3,0,11.40062862,Good
Car,59405,Poor,8,Electric,800,3,0,14.32889623,Good
Bus,36643,Average,4,Electric,2500,5,0,12.72361165,Good
Truck,48034,Poor,10,Petrol,1500,7,3,12.61145648,New
Motorcycle,61861,Poor,10,Electric,2000,6,0,15.00840239,Good
Bus,44249,Average,1,Electric,2500,7,1,15.45665581,New
SUV,31111,Poor,1,Petrol,2500,5,0,18.65631328,Weak
Truck,70346,Poor,7,Diesel,800,10,0,16.95437599,Weak
SUV,72722,Good,3,Diesel,2000,2,2,11.58211846,New
Truck,67738,Average,6,Electric,2000,3,2,15.16855017,Weak
SUV,32797,Poor,10,Petrol,2500,2,2,13.95738284,Good
Car,37258,Average,1,Electric,1000,10,0,15.7086341,Good
Truck,50881,Good,2,Electric,1000,1,1,10.2106724,New
Car,60763,Average,10,Petrol,2000,10,3,16.87699199,Good
